code,Title
"11-2031","Public Relations and Fundraising Managers"
"11-3011","Administrative Services Managers"
"11-9060","Funeral Service Managers"
"11-9061","Funeral Service Managers"
"13-2021","Appraisers and Assessors of Real Estate"
"15-1100","Computer Occupations"
"15-1110","Computer and Information Research Scientists"
"15-1111","Computer and Information Research Scientists"
"15-1120","Computer and Information Analysts"
"15-1121","Computer Systems Analysts"
"15-1122","Information Security Analysts"
"15-1130","Software Developers and Programmers"
"15-1131","Computer Programmers"
"15-1132","Software Developers, Applications"
"15-1133","Software Developers, Systems Software"
"15-1134","Web Developers"
"15-1140","Database and Systems Administrators and Network Architects"
"15-1141","Database Administrators"
"15-1142","Network and Computer Systems Administrators"
"15-1143","Computer Network Architects"
"15-1150","Computer Support Specialists"
"15-1151","Computer User Support Specialists"
"15-1152","Computer Network Support Specialists"
"15-1190","Miscellaneous Computer Occupations"
"15-1199","Computer Occupations, All Other"
"15-2091","Mathematical Technicians"
"19-3031","Clinical, Counseling, and School Psychologists"
"19-4011","Agricultural and Food Science Technicians"
"19-4041","Geological and Petroleum Technicians"
"19-4091","Environmental Science and Protection Technicians, Including Health"
"19-4093","Forest and Conservation Technicians"
"23-2091","Court Reporters"
"25-1191","Graduate Teaching Assistants"
"25-2052","Special Education Teachers, Kindergarten and Elementary School"
"25-2053","Special Education Teachers, Middle School"
"25-2054","Special Education Teachers, Secondary School"
"25-4021","Librarians"
"25-9010","Audio-Visual and Multimedia Collections Specialists"
"25-9011","Audio-Visual and Multimedia Collections Specialists"
"25-9041","Teacher Assistants"
"27-3012","Public Address System and Other Announcers"
"27-3021","Broadcast News Analysts"
"27-3022","Reporters and Correspondents"
"27-4013","Radio Operators"
"29-1060","Physicians and Surgeons"
"29-1061","Anesthesiologists"
"29-1062","Family and General Practitioners"
"29-1063","Internists, General"
"29-1064","Obstetricians and Gynecologists"
"29-1065","Pediatricians, General"
"29-1066","Psychiatrists"
"29-1067","Surgeons"
"29-1069","Physicians and Surgeons, All Other"
"29-1190","Miscellaneous Health Diagnosing and Treating Practitioners"
"29-1199","Health Diagnosing and Treating Practitioners, All Other"
"29-2020","Dental Hygienists"
"29-2021","Dental Hygienists"
"29-2041","Emergency Medical Technicians and Paramedics"
"29-2054","Respiratory Therapy Technicians"
"29-2071","Medical Records and Health Information Technicians"
"29-9010","Occupational Health and Safety Specialists and Technicians"
"29-9011","Occupational Health and Safety Specialists"
"29-9012","Occupational Health and Safety Technicians"
"31-1000","Nursing, Psychiatric, and Home Health Aides"
"31-1010","Nursing, Psychiatric, and Home Health Aides"
"31-1011","Home Health Aides"
"31-1013","Psychiatric Aides"
"31-1014","Nursing Assistants"
"31-1015","Orderlies"
"35-3021","Combined Food Preparation and Serving Workers, Including Fast Food"
"35-3022","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
"39-1011","Gaming Supervisors"
"39-1012","Slot Supervisors"
"39-1021","First-Line Supervisors of Personal Service Workers"
"39-9020","Personal Care Aides"
"39-9021","Personal Care Aides"
"41-3099","Sales Representatives, Services, All Other"
"43-5080","Stock Clerks and Order Fillers"
"43-5081","Stock Clerks and Order Fillers"
"43-9010","Computer Operators"
"43-9011","Computer Operators"
"45-3010","Fishers and Related Fishing Workers"
"45-3011","Fishers and Related Fishing Workers"
"45-3020","Hunters and Trappers"
"45-3021","Hunters and Trappers"
"47-5021","Earth Drillers, Except Oil and Gas"
"47-5031","Explosives Workers, Ordnance Handling Experts, and Blasters"
"47-5042","Mine Cutting and Channeling Machine Operators"
"47-5060","Roof Bolters, Mining"
"47-5061","Roof Bolters, Mining"
"49-9093","Fabric Menders, Except Garment"
"51-2091","Fiberglass Laminators and Fabricators"
"51-2093","Timing Device Assemblers and Adjusters"
"51-4010","Computer Control Programmers and Operators"
"51-4011","Computer-Controlled Machine Tool Operators, Metal and Plastic"
"51-4012","Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
"51-9121","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
"51-9122","Painters, Transportation Equipment"
"53-1010","Aircraft Cargo Handling Supervisors"
"53-1011","Aircraft Cargo Handling Supervisors"
"53-1020","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
"53-1021","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
"53-1030","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators"
"53-1031","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators"
"53-3020","Bus Drivers"
"53-3021","Bus Drivers, Transit and Intercity"
"53-3022","Bus Drivers, School or Special Client"
"53-3040","Taxi Drivers and Chauffeurs"
"53-3041","Taxi Drivers and Chauffeurs"
"53-4012","Locomotive Firers"
"53-4021","Railroad Brake, Signal, and Switch Operators"
"53-7032","Excavating and Loading Machine and Dragline Operators"
"53-7033","Loading Machine Operators, Underground Mining"
"53-7110","Mine Shuttle Car Operators"
"53-7111","Mine Shuttle Car Operators"
"55-3017","Radar and Sonar "Technicians"
